    代码     名字      当前价  市净率   市赢率  5日线    20日线  半年线       年线      2年前价  基金名                   持股比   持股量
76  002462    嘉事堂  23.19  2.53    16.52  23.540  23.212  25.827167  31.85596  34.10  中央汇金资产管理有限责任公司  1.78     445.49
77  002066   瑞泰科技   9.04  5.12    89.25   9.262   8.968   9.910167  11.89644  15.86  中央汇金资产管理有限责任公司  2.72     627.89
78  002140   东华科技   9.37  2.14    40.63   9.530   9.169   9.829500  11.43320  15.02  中央汇金资产管理有限责任公司  1.72     766.17
79  600200   江苏吴中  10.73  2.65    92.90  10.894  10.404  10.969167  12.34932  17.19    中国证券金融股份有限公司  1.33     960.16
80  002253   川大智胜  18.80  3.29   151.18  19.622  19.443  19.236500  21.78900  34.37  中央汇金资产管理有限责任公司  1.88     423.88
81  002350   北京科锐   9.52  2.80   136.59   9.388   9.205   9.364250  12.96664  18.70  中央汇金资产管理有限责任公司  1.96     758.00
82  600831   广电网络   7.86  1.60    26.09   8.022   7.859   8.029833   9.05408  12.31  中央汇金资产管理有限责任公司  2.48    1502.24
83  300273   和佳股份   9.30  3.10    34.53   9.796   9.735   9.182583  10.40920  15.83  中央汇金资产管理有限责任公司  1.10     866.21
84  300363   博腾股份  13.31  4.10    64.69  13.622  13.266  13.229833  14.40328  22.27  中央汇金资产管理有限责任公司  1.51     641.33
85  300211   亿通科技   6.68  3.99   270.87   6.756   6.524   6.754583   7.68144  12.13  中央汇金资产管理有限责任公司  1.58     476.84
86  300250   初灵信息  15.48  2.18   734.65  16.296  16.161  15.093833  16.14656  25.41  中央汇金资产管理有限责任公司  1.90     441.57
87  300034   钢研高纳  11.43  3.59    60.50  11.850  11.594  11.807417  15.33488  21.67  中央汇金资产管理有限责任公司  2.04     859.82
88  300380   安硕信息  21.74  7.69   287.31  23.012  22.777  20.992917  22.90136  42.90  中央汇金资产管理有限责任公司  1.50     206.12
89  002623    亚玛顿  19.75  1.47   105.36  19.820  19.140  20.977000  23.56216  30.56  中央汇金资产管理有限责任公司  1.35     216.15
90  600557   康缘药业  13.52  2.32    21.94  13.714  13.688  13.542500  14.76964  19.88  中央汇金资产管理有限责任公司  2.97    1828.01
91  000788   北大医药   7.84  4.00    81.52   8.122   7.762   8.197083   9.40864  12.58    中国证券金融股份有限公司  1.94    1157.65
92  300246    宝莱特  19.34  5.43    37.78  19.948  19.394  19.875333  23.17024  29.93  中央汇金资产管理有限责任公司  2.83     413.45
93  002017   东信和平   7.80  2.90    85.80   8.044   7.996   8.285833   9.63716  12.65  中央汇金资产管理有限责任公司  1.14     396.45
